brand,brandid, brand_cn,brand_en,device
Air-Con,,,,
Airton,,,,
Akai,1472.0,雅佳,Akai,None
Alpha Smart,,,,
Alpin,5934.0,Alpin,Alpin,空调
Amana,,,,
Amcor,,,,
Amena,,,,
Anslut,,,,
Argo,,,,
Arlec,,,,
Artel,,,,
Autoclima,,,,
Aux,1619.0,奥克斯,Aux,空调
Ayre,,,,
Black & Decker,,,,
Bonaire,,,,
Bosch,5436.0,博世,BOSCH,空调
Carrier,1807.0,开利,Carrier,空调
Changhong,1842.0,长虹,Changhong,空调
Chigo,1855.0,志高,Chigo,空调
Chofu,,,,
Citicop,,,,
Clatronic,1899.0,Clatronic,Clatronic,None
ClimaChill,,,,
Comfort Cire,,,,
Condura,,,,
Consul,,,,
Cooline,,,,
Coolman,,,,
Corona,1943.0,内田,Corona,空调
Croma,,,,
Cruisair,,,,
DEI,,,,
Daewoo,1990.0,大宇,Daewoo,空调
Daikin,1995.0,大金,Daikin,空调
Danby,,,,
Delonghi,,,,
Dimplex,,,,
Dometic,,,,
Dyson,5065.0,戴森,Dyson,None
Electra,5415.0,以莱特,Electra,空调
Electriq,,,,
Electrolux,2216.0,伊莱克斯,Electrolux,空调
Emmeti,,,,
Europace,5579.0,EuropAce,EuropAce,空调
Evergreen,2268.0,松柏,Evergreen,None
Feeders,,,,
Forestair,,,,
Friedrich,,,,
Frigidaire,2345.0,富及第,Frigidaire,空调
Fujitsu,2359.0,富士通,Fujitsu,空调
Funai,2367.0,船井,Funai,空调
GE,2409.0,歌,Ge,None
Generic,,,,
Generic Window (portable) A/C,,,,
Gree,2475.0,格力,Gree,空调
Haier,2493.0,海尔,Haier,空调
Haiku,,,,
Heller,,,,
HiSeer,,,,
HiSense,2563.0,海信,Hisense,空调
Hisense,2563.0,海信,Hisense,空调
Hitachi,2565.0,日立,Hitachi,空调
Honeywell,1234.0,霍尼韦尔,Honeywell,None
Hyundai,2644.0,现代,Hyundai,空调
IVT,5928.0,Ivt,Ivt,空调
Ikon,,,,
Innova Air,,,,
Islandaire,,,,
Kendo,2832.0,Kendo,Kendo,None
Kolin,5891.0,Kolin,Kolin,空调
LG,2945.0,LG,LG,空调
Lakes,,,,
Lasko,1258.0,拉斯科,Lasko,None
Lennox,,,,
Mabe,,,,
Maclaren,,,,
Maytag,,,,
McQuay,5499.0,麦克维尔,McQuay,空调
Mcquay,5499.0,麦克维尔,McQuay,空调
Meaco,,,,
Meitav,,,,
Midea,3132.0,美的,Midea,空调
Miller,,,,
Mitsua,,,,
Mitsubishi,3153.0,三菱,Mitsubishi,空调
Natec,,,,
Newair,,,,
Nordstar,5910.0,Nordstar,Nordstar,空调
Olimpia,,,,
Olimpia Splendid,,,,
Omega,3320.0,Omega,Omega,None
Orieme,,,,
Panasonic,3393.0,松下,Panasonic,空调
Pearl,5946.0,Pearl,Pearl,空调
Pilot,3433.0,百乐,Pilot,None
Platinum,3445.0,铂矿,Platinum,None
Rasonic,5396.0,乐信,Rasonic,空调
Remko,,,,
Rheem,,,,
Rinnai,,,,
Rollibot,,,,
Royal,3617.0,Royal,Royal,None
Royal Sovereign,,,,
SPT,,,,
Samsung,3647.0,三星,Samsung,空调
Sanlux,,,,
Sanyo,3668.0,三洋,Sanyo,空调
Saporo,3672.0,Saporo,Saporo,空调
Senville,5922.0,Senville,Senville,空调
Sharp,3738.0,夏普,Sharp,空调
Skyworth,3819.0,创维,Skyworth,空调
Spacepak,,,,
Sunbeam,,,,
Surrey,,,,
TCL,3988.0,TCL,TCL,空调
Tadiran,,,,
Tcl,3988.0,TCL,TCL,空调
Technibel,,,,
Teco,4013.0,Teco,Teco,空调
Temperzone,,,,
Thermocore,,,,
Thermosphere,,,,
Thomas,,,,
Tornado,,,,
Toshiba,4110.0,东芝,Toshiba,空调
Toyota,,,,
Toyotomi,5411.0,丰臣,Toyotomi,空调
Trane,4119.0,特灵,Trane,空调
Truma,,,,
Voltas,,,,
Well,,,,
Westing House,,,,
Whirlpool,4315.0,惠而普,Whirlpool,空调
Whynter,,,,
Wilfa,,,,
Windy,,,,
Winia,,,,
York,4409.0,约克,York,空调
Zhendre,,,,
Zibro,,,,
